objectid,filename,title,عنوان,creator,مبتكر/مؤلف,date,العام/السنة,description,الوصف,subjects,رؤوس الموضوعات/الأوسمة,location (country),المكان (البلد),site,الموقع الأثري,period,الحقبة التاريخية,type,النوع,format,الصيغة/عملية التصوير,rights,rightsstatement,المكان (البلد),Collection,المجموعة,object_location,latitude,longitude,source,identifier,language,display_template
ACOR_BAP_00011-MF,ACOR_BAP_00011-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,"Teleilat Ghassul, Southeast corner of main cut Area A",موقع تليلات الغسول الأثري,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00011-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00012-MF,ACOR_BAP_00012-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,"Teleilat Ghassul Main cut, area A, levels A-H/I, purported Neolithic",موقع تليلات الغسول الأثري,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00012-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00013-MF,ACOR_BAP_00013-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,Teleilat Ghassul Area A looking south-Southwest House of level E,موقع تليلات الغسول الأثري,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00013-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00014-MF,ACOR_BAP_00014-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,"Teleilat Ghassul, Excavation tents of Australian team",خيم للفريق الاسترالي في موقع تليلات الغسول الأثري,"excavations (Archaeology), tents, archaeological sites",حفريات (علم الآثار)، خيم، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00014-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00015-MF,ACOR_BAP_00015-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,Karameh South of Damiya Bridge Palestinian Town,بلدة الكرامة، جنوب جسر دامية (داميا),"children, villages",أطفال، قُرى,Karameh (Jordan),الكرامة (الأردن),Karama,الكرامة,"Modern, Unspecified",القترة الحديثة، غير محدد,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00015-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00016-MF,ACOR_BAP_00016-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,1977,١٩٩٧,Teleilat Ghassul - visit to Karameh 20km south of Damiya Bridge,بلدة الكرامة، جنوب جسر دامية (داميا),"children, villages",أطفال، قُرى,Karameh (Jordan),الكرامة (الأردن),Karama,الكرامة,"Modern, Unspecified",القترة الحديثة، غير محدد,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00016-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00017-MF,ACOR_BAP_00017-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,Fields near the foothills view looking west,حقول بالقرب من سفوح التلال,landscapes,مناظر طبيعية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00017-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00018-MF,ACOR_BAP_00018-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,"Farm in Eastern foothills, looking east",مزرعة على سفوح التلال الشرقية,"landscapes, agriculture",مناظر طبيعية، زراعة,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00018-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00019-MF,ACOR_BAP_00019-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,1977,١٩٩٧,Farm in Eastern foothills,مزرعة على سفوح التلال الشرقية,"landscapes, agriculture",مناظر طبيعية، زراعة,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00019-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00020-MF,ACOR_BAP_00020-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,Eastern Ghor farm,مزرعة على سفوح التلال الشرقية,"landscapes, agriculture",مناظر طبيعية، زراعة,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00020-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00021-MF,ACOR_BAP_00021-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,Farm in foothills of East Ghor,مزرعة على سفوح التلال الشرقية,"landscapes, agriculture",مناظر طبيعية، زراعة,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00021-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00022-MF,ACOR_BAP_00022-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,1977,١٩٩٧,"Dolmen, East Ghor foothills",الدولمنز في الاغوار الشرقية,"landscapes, dolmens",مناظر طبيعية، دولمنز,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00022-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00023-MF,ACOR_BAP_00023-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,1977,١٩٩٧,"Dolmen, East Ghor foothills",الدولمنز في الاغوار الشرقية,"landscapes, dolmens",مناظر طبيعية، دولمنز,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00023-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00024-MF,ACOR_BAP_00024-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,1977,١٩٩٧,University of Jordan students around dolmen,طلاب من الجامعة الاردنية في زيارة لمنطقة الدولمنز,"landscapes, dolmens",مناظر طبيعية، دولمنز,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00024-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00025-MF,ACOR_BAP_00025-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,1977,١٩٩٧,Tall es Sa'idiyeh looking west,تل السعيدية، منظر من الغرب,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Tall es Saidiyeh (Jordan),تل السعيدية (الأردن),Tall es Saidiyeh,تل السعيدية,"Early Chalcolithic, Late Chalcolithic, Early Bronze Age, Late Bronze Age, Iron Age, Hellenistic, Roman, Byzantine, Umayyad, Crusader",العصر الحجري النحاسي، العصر البرونزي المبكر، العصر البرونزي المتأخر، العصر الحديدي، الفترة الهلنستية، الفترة الرومانية، الفترة البيزنطية، العصر الأيوبي، الصليبيين,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00025-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00026-MF,ACOR_BAP_00026-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,1977,١٩٩٧,Tall es Sa'idiyeh looking west,تل السعيدية، منظر من الغرب,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Tall es Saidiyeh (Jordan),تل السعيدية (الأردن),Tall es Saidiyeh,تل السعيدية,"Early Chalcolithic, Late Chalcolithic, Early Bronze Age, Late Bronze Age, Iron Age, Hellenistic, Roman, Byzantine, Umayyad, Crusader",العصر الحجري النحاسي، العصر البرونزي المبكر، العصر البرونزي المتأخر، العصر الحديدي، الفترة الهلنستية، الفترة الرومانية، الفترة البيزنطية، العصر الأيوبي، الصليبيين,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00026-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00027-MF,ACOR_BAP_00027-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,1977,١٩٩٧,Tell es Sa'idiyeh,تل السعيدية، أثناء الحفرية,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Tall es Saidiyeh (Jordan),تل السعيدية (الأردن),Tall es Saidiyeh,تل السعيدية,"Early Chalcolithic, Late Chalcolithic, Early Bronze Age, Late Bronze Age, Iron Age, Hellenistic, Roman, Byzantine, Umayyad, Crusader",العصر الحجري النحاسي، العصر البرونزي المبكر، العصر البرونزي المتأخر، العصر الحديدي، الفترة الهلنستية، الفترة الرومانية، الفترة البيزنطية، العصر الأيوبي، الصليبيين,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00027-MF.jpg,,,Barbara Porter Collection,,en,image
