objectid,title,creator,date,description,subject,location,المكان (البلد),site,period,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
BB_221,T71 - VII - 15,"Byrd, Brian",1982,,archaeological sites,Amman (Jordan),عين غزال,Ain Ghazal,Neolithic,31.988,35.976,Brian Byrd Collection,BB_221.jpg,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/BB_221.jpg,,
BB_222,Clay figurines,"Byrd, Brian",1984,,archaeological sites,Amman (Jordan),عين غزال,Ain Ghazal,Neolithic,32.988,36.976,Brian Byrd Collection,BB_222.jpg,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/BB_222.jpg,,
BB_223,"15m [?] Section, Section A, Section 6","Byrd, Brian",1984,,archaeological sites,Amman (Jordan),عين غزال,Ain Ghazal,Neolithic,33.988,37.976,Brian Byrd Collection,BB_223.jpg,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/BB_223.jpg,,
BB_224,Lower terrace work,"Byrd, Brian",1984,,archaeological sites,Amman (Jordan),عين غزال,Ain Ghazal,Neolithic,34.988,38.976,Brian Byrd Collection,BB_224.jpg,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/BB_224.jpg,,
